,MOF_name,P_high1,P_high2,opt_MACO_Diffev
0,MOF1902,3.135937404,3.110093878,3573.078917
1,MOF1897,3.122720394,3.094271729,3069.970607
2,MOF422,3.139668037,3.131547027,2677.882655
3,MOF421,3.138072877,3.134472149,2481.15018
4,MOF1488,3.104314186,2.079344911,2137.873142
5,MOF263,3.117892427,3.126953577,1397.255505
6,MOF036,3.030737341,2.772461453,1228.906416
7,MOF197,3.138226929,2.985495188,1096.480102
8,MOF4464,3.139270163,3.015308403,1090.302524
9,MOF4463,3.139831869,3.091225181,1037.318787
10,MOF3878,3.13904662,2.424738116,989.9567636
11,MOF3383,3.138351158,3.073470055,960.434687
12,MOF3264,3.108696323,2.988530466,940.4792359
13,MOF198,3.119228372,3.129021608,885.2433018
14,MOF424,3.135288546,3.094792484,886.5022457
15,MOF3266,3.114278021,3.119240624,865.2398183
16,MOF2731,3.13708042,3.103373921,821.9157449
17,MOF1216,3.12,3.08,794
18,MOF3382,3.110692364,2.98912192,791.7425383
19,MOF054,3.138288031,2.740677708,779.3464614
20,MOF423,3.139867669,2.603803851,773.6610522
21,MOF3533,3.109840302,2.959651383,764.4805475
22,MOF671,3.139000948,2.637916844,761.3176278
23,MOF199,3.138775934,3.087934711,742.5668696
24,MOF1473,3.123980986,3.101240999,736.8672349
25,MOF1895,3.130912179,2.924386781,733.7019693
26,MOF1287,3.131699004,2.934359386,671.8477174
27,MOF2729,3.139256321,3.052866562,666.4922709
28,MOF4462,3.133581231,2.579911147,660.4974205
29,MOF1971,3.137074657,3.028663946,652.5366381
30,MOF3380,3.139119028,3.043304631,646.8992537
31,MOF1419,3.139502357,2.897436978,646.5007768
32,MOF1566,3.138873877,2.333303611,652.9789053
33,MOF040,3.13658627,3.110874851,633.1862376
34,MOF131,3.074885732,2.984302765,640.390514
35,MOF1102,3.116243999,3.034041543,630.8330067
36,MOF1935,3.13886678,3.072018831,627.7673014
37,MOF2209,3.139571123,2.677036377,625.9822642
38,MOF4614,3.130046048,2.941194616,617.6092266
39,MOF3262,3.136290057,2.868031752,618.0683246
40,MOF1934,3.128471057,3.02180609,616.8857168
41,MOF3505,3.138992586,3.131197634,608.0519617
42,MOF4615,3.135061867,2.968849688,613.3364022
43,MOF3682,3.124906295,2.9253966,610.4832901
44,MOF426,3.12037632,2.667783462,604.0843234
45,MOF1959,3.083938106,2.250700393,603.5837805
46,MOF2902,3.109649876,2.83650093,597.2929278
47,MOF1518,3.119485052,2.443386752,599.2529582
48,MOF2921,3.139131854,3.087488966,580.4428693
49,MOF1968,3.139427182,2.964500477,576.7550497
50,MOF849,3.128343031,2.640618019,579.8907924
51,MOF4140,3.139868189,2.985377824,577.0863544
52,MOF1966,3.132498391,3.004778494,575.5363217
53,MOF3806,3.135996142,2.571970829,573.1935259
54,MOF4458,3.133695586,2.504137617,573.0769471
55,MOF1973,3.127571343,2.960533962,567.5688674
56,MOF2904,3.137754236,2.942679555,563.6744995
57,MOF3379,3.13819035,3.077765207,558.1511023
58,MOF2343,3.12606397,3.069064387,549.3012092
59,MOF381,3.13139951,3.133112242,547.4708896
60,MOF041,3.132703343,2.278987132,563.3247891
61,MOF3381,3.02160789,3.130079256,527.0693321
62,MOF264,3.138878475,2.733869631,554.3979085
63,MOF261,3.128835224,2.537709046,554.7738109
64,MOF262,3.135016749,2.505448896,552.0990139
65,MOF1918,3.13908618,3.117606032,545.0052471
66,MOF053,3.138951012,3.107589176,538.3397098
67,MOF4461,3.073387299,2.078199132,539.8224622
68,MOF4142,3.138568948,2.653187843,535.2988207
69,MOF4877,3.033683103,3.133509011,526.0118038
70,MOF1969,3.138190273,4.362957521,457.9242353
71,MOF1967,3.124999981,3.117786149,524.8276963
72,MOF1972,3.139225757,3.005220739,525.4394565
73,MOF4779,3.138053628,5.136960238,452.8120466
74,MOF4066,3.138367509,2.748313406,527.2276629
75,MOF3449,3.113546059,2.097107092,530.0924554
76,MOF4456,3.138187835,2.615569172,525.3436012
77,MOF1970,3.136309912,2.965783577,524.9047325
78,MOF1917,3.136749648,3.119871479,515.7523829
79,MOF2678,3.139485386,3.134249326,515.0032475
80,MOF4455,3.127074296,2.730524501,516.5237406
81,MOF863,3.139975643,6.817675846,428.0416424
82,MOF4065,3.134717215,2.61276861,512.029583
83,MOF4454,3.13233345,2.678651299,511.2321063
84,MOF4457,3.139029234,2.614454968,511.5875704
85,MOF4460,3.13894487,2.484633854,507.6755018
86,MOF3377,3.139733114,9.218114806,430.5802659
87,MOF380,3.132643055,4.677743492,434.417383
88,MOF862,3.132939251,2.466293132,504.0581913
89,MOF055,3.131937663,2.933945832,495.4960064
90,MOF1420,3.139942381,3.071498312,490.4880682
91,MOF3000,3.132886851,3.047372027,488.1651985
92,MOF913,3.138850047,2.511309262,491.0598101
93,MOF3378,3.139433845,5.401964006,419.0110345
94,MOF4260,3.12739347,2.776997137,478.8850242
95,MOF1894,3.133548745,2.534787522,477.7520698
96,MOF228,3.133302582,2.537067739,476.2975383
97,MOF4892,3.138829156,3.124808063,466.3185311
98,MOF1524,3.139081365,3.120155555,463.8143166
99,MOF4624,3.137498472,2.32677035,471.1007301
100,MOF4839,3.133969213,2.781636232,467.1212406
101,MOF1933,3.136252304,2.59712194,466.0760572
102,MOF4849,3.106369857,2.951844628,463.1665987
103,MOF2457,3.120024594,2.803295046,463.3090808
104,MOF3800,3.128243185,2.704110662,465.2471809
105,MOF3265,3.139159742,3.03523883,456.4850851
106,MOF3453,3.136709517,2.776120447,464.8026696
